image,original_response_formatted,generated_response_formatted
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7D54BCFF0B90>,"[['The baby his a Cookie Monster outfit on he is happy he his a Gutter its red'], [""A child wearing a shirt decorated with Elmo's face holds a red ukulele.""], ['A toddler wearing an Elmo Christmas outfit holds a red guitar.'], ['A child wearing a santa elmo suit holding a red guitar.'], ['A child in a Elmo suit is playing the guitar.']]","[['A little girl wearing a red Elmo costume is holding a tiny guitar.'], ['A child dressed in a Santa costume sits and plays a small red guitar.'], ['A child is sitting on the floor, wearing a red suit, playing a small guitar.'], ['A baby in a red Elmo costume is playing a red guitar.'], ['A small child dressed as Elmo is playing a small guitar.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7D54BCFF0B30>,"[['A man without a shirt runs through water spraying out of a large silver dome.'], ['A group of people are standing around a water fountain getting wet.'], ['People playing outside near a water fountain getting wet.'], ['A large crowd plays in and around a fountain.'], ['Sprinkler goes off in the middle of a crowd.']]","[['A boy runs through a fountain as other people look on.'], ['People are running in the fountain and playing with their dogs while others are standing or sitting around.'], ['People are having fun playing with water in a fountain.'], ['A large crowd of people are gathered around a fountain where a man is leaping into the water.'], ['A man in a black suit is walking up a flight of stairs while people are enjoying a fountain in the background.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x315 at 0x7D54BCFF0A70>,"[['A young woman in a blue shirt stands, holding a young girl in a denim dress.'], ['There is a woman holding her baby daughter while the daughter claps.'], ['A woman with holding a young girl playing with bubbles at a picnic.'], ['A woman is holding a little girl who is trying to catch bubbles.'], ['A lady holds a little girl who is trying to catch bubbles.']]","[['Children are playing with bubbles at the park.'], ['A woman holding a girl who is trying to catch bubbles.'], ['Two young girls and a little boy watch bubbles float around them.'], ['Little girl reaching to catch bubbles at a park.'], ['A woman and a girl play with bubbles, while a small boy watches.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x332 at 0x7D54BCFF2FC0>,"[['A woman is walking down a trail with tall grass and a mountain in the background.'], ['A hiker jogs down a rocky road while blue skies and mountains cross the horizon.'], ['Woman jogging down a mountain trail with mountains in the background.'], ['A woman in yellow shir and black shorts is running along.'], ['A female runner running alone near a mountain.']]","[['A woman in a yellow shirt and black shorts runs on a dirt road with mountains in the background.'], ['A woman is running down a dirt path wearing shorts and sunglasses.'], ['A man wearing shorts and sunglasses is running down a dirt road in a scenic mountainous area.'], ['A woman in a yellow and black shirt and black shorts is running down a dirt road.'], ['A woman in a yellow shirt and black shorts is running on a dirt path near a mountain.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=332x500 at 0x7D54BCFF3050>,"[['A large black gorilla peers down at a group of young people from above while the peer inside his enclosure from below.'], ['A group of young people stand in front of and touch a black, rusting metal structure.'], ['The stuffed gorilla is laying on top of the stack of speakers.'], ['Young people stand underneath a large stuffed gorilla.'], ['People stand in front of a black wooden contraption.']]","[['People in a crowd are all reaching up to a stage.'], ['The crowd of people is gathered around the gorilla in a black box.'], ['A crowd of people are gathered in front of a gorilla who is sitting on a stage.'], ['A crowd of people stand in front of a speaker with a black cat on top of it.'], ['A group of people are gathered around a gorilla statue, with a man in a tan jacket and a woman in a green shirt among them.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x335 at 0x7D54BCFF30E0>,"[['A band with four members, one female, plays for a small audience.'], ['A woman in a blue dress sings while her bandmates play instruments.'], ['A 5-person band is performing on a stage inside a tent.'], ['A musical quintet are performing at a festival.'], ['Three men and one woman in a band on a stage.']]","[['A woman with a blue dress and a man with a gray shirt are playing music on a stage.'], ['A group of people playing instruments with a sign that says Entertainment behind them.'], ['The woman is singing on stage as a band plays.'], ['A band with a girl singing in front and guitarists on both sides.'], ['A band is performing in a tent with a woman singing and two guitarists and a drummer in the background.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7D54BCFF3170>,"[['A man holding guitar and works at an Asus betbook, whilst another man works an Apple netbook beside him.'], ['Two men seated, one holding a guitar, looking at laptop computer screens.'], ['Two men looking at little white laptops and holding a guitar.'], ['Two men working on there apple laptops.'], ['Two men are using their laptops.']]","[['A guy with a grey hoodie is playing an acoustic guitar and working on a computer.'], ['A man playing a guitar while a man next to him uses an Apple computer.'], ['Two men sitting at a table, one is playing a guitar and the other is using a Mac computer.'], ['Two men sitting at a table using laptops and smoking cigarettes.'], ['Two men sitting at a table with computers. One of them is playing an acoustic guitar.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x335 at 0x7D54BCFF3200>,"[['A man wearing a suit walks next to a building support column with palm trees in the background.'], ['An interesting square is surrounded by people commuting to their desired destinations.'], ['In a modern building, employees cross paths with the janitor with an orange trashcan.'], ['The outside of a business is shown with a trashcan and four people walking around.'], ['Several people walk past a mirrored pillar in a public concourse.']]","[['A man wearing a tie is walking past a man in a suit and a woman in a pink shirt.'], ['A man in a suit is walking past a building with glass windows.'], ['A man in a suit is walking past a building.'], ['A man in a suit and tie walks past a small building made of glass.'], ['A man in a suit stands outside a building with a woman and child in the background.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7D54BCFF32F0>,"[['A man in a plaid suit and clown makeup plays guitar, while a man in a brown shirt head bangs and a woman plays bass in the background.'], ['A band consisting of a female bassist, a male face-painted guitarist, and an average-looking vocalist rock out on stage.'], ['A guy in a brown shirt, a girl in a black shirt, and a guy in a plaid suit are playing in a band.'], ['A man in a T-shirt and jeans is dancing in front of a man and a woman playing electric guitars.'], ['A man in a plaid suit playing guitar with a woman and another man.']]","[['A man with a microphone is on stage with two other men playing instruments.'], ['a group of men playing music on a stage.'], ['a person standing in a field and a person playing a guitar.'], ['Two guitarists and a keyboard player in a dark room.'], ['A man standing in front of a crowd playing a guitar.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7D54BCFF3410>,"[['A group of people are varying degrees of underwater in a pool, with an older man clad in American flag swim trunks the furthest underwater.'], ['A man, in the American flag swim trunks, swims underneath other at a pool.'], ['A number of people are diving and swimming in a body of water.'], ['The people swim above and under the water in the pool.'], ['Old man in swimming pool having fun swimming']]","[['Group of people wearing swimsuits swimming in the water.'], ['A group of people swim in the water.'], ['A group of people wearing swimsuits and goggles are swimming underwater in a pool.'], ['People swimming under water in a pool.'], ['A group of people are swimming underwater in a pool.']]"
