image,lol_of_genrated_response,lol_of_original_response
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7CBB9D9FF6E0>,"[['A toddler is sitting on the floor, smiling and wearing a red Elmo costume while holding a red ukulele.'], ['A little girl wearing an Elmo costume sits on the floor playing a red guitar.'], ['A young girl dressed as Elmo smiles as she plays a small guitar.'], ['A child in an Elmo costume playing a red guitar.'], ['A child in a red Elmo costume plays the guitar.']]","[['The baby his a Cookie Monster outfit on he is happy he his a Gutter its red'], ['""A child wearing a shirt decorated with Elmo\'s face holds a red ukulele."", \'A toddler wearing an Elmo Christmas outfit holds a red guitar.'], ['A child wearing a santa elmo suit holding a red guitar.'], ['A child in a Elmo suit is playing the guitar.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7CBB9DB5D940>,"[['A man in black pants and no shirt jumping up in a fountain.'], ['A shirtless man jumps in the air in the middle of a fountain'], ['A man in a blue shirt jumps through a water fountain.'], ['A man is jumping into a fountain while people watch.'], ['A man jumps up into a water fountain.']]","[['A man without a shirt runs through water spraying out of a large silver dome.'], ['A group of people are standing around a water fountain getting wet.'], ['People playing outside near a water fountain getting wet.'], ['A large crowd plays in and around a fountain.'], ['Sprinkler goes off in the middle of a crowd.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x315 at 0x7CBB9D315E50>,"[['A little girl in a blue dress is reaching for bubbles while a woman in a blue shirt looks on.'], ['A young girl wearing a blue dress is trying to grab bubbles while a woman watches her.'], ['A little girl in a blue dress reaching for bubbles while a woman looks on.'], ['A young girl is playing with bubbles.'], ['A little girl chasing bubbles.']]","[['A young woman in a blue shirt stands, holding a young girl in a denim dress.'], ['There is a woman holding her baby daughter while the daughter claps.'], ['A woman with holding a young girl playing with bubbles at a picnic.'], ['A woman is holding a little girl who is trying to catch bubbles.'], ['A lady holds a little girl who is trying to catch bubbles.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x332 at 0x7CBB9D7870B0>,"[['A woman with sunglasses, a t-shirt, shorts, and green sneakers is running on a dirt road surrounded by trees.'], ['A woman wearing a flowered shirt is jogging on a gravel road with mountains and trees in the background.'], ['A female runner is jogging down a dirt road with mountains and trees in the background.'], ['A woman is running down a dirt road surrounded by mountains.'], ['A woman is running on a dirt path with a mountain behind her']]","[['A woman is walking down a trail with tall grass and a mountain in the background.'], ['A hiker jogs down a rocky road while blue skies and mountains cross the horizon.'], ['Woman jogging down a mountain trail with mountains in the background.'], ['A woman in yellow shir and black shorts is running along.'], ['A female runner running alone near a mountain.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=332x500 at 0x7CBB9D9C8050>,"[['A crowd of people watching a black bear from the ground up.'], ['People looking up at a black bear on a platform.'], ['A crowd of people look up at a bear on a stage.'], ['A crowd of people looking up at a gorilla.'], ['People look up at a gorilla.']]","[['A large black gorilla peers down at a group of young people from above while the peer inside his enclosure from below.'], ['A group of young people stand in front of and touch a black, rusting metal structure.'], ['The stuffed gorilla is laying on top of the stack of speakers.'], ['Young people stand underneath a large stuffed gorilla.'], ['People stand in front of a black wooden contraption.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x335 at 0x7CBB9DDD86E0>,"[['A group of people are playing musical instruments on a stage.'], ['A band plays at a ""Entertainment"" event.'], ['A band plays at an entertainment event.'], ['A band plays at a entertainment event.'], ['A band performing under a tent.']]","[['A band with four members, one female, plays for a small audience.'], ['A woman in a blue dress sings while her bandmates play instruments.'], ['A 5-person band is performing on a stage inside a tent.'], ['A musical quintet are performing at a festival.'], ['Three men and one woman in a band on a stage.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7CBB9DD57F50>,"[['Two young men, one holding a guitar, sitting at a table with their laptops.'], ['Two men sitting in front of their computers while one smokes a cigarette.'], ['Two men are using computers with a guitar in between them.'], ['Two men sit at a table using laptops.'], ['Two men working on computers.']]","[['A man holding guitar and works at an Asus betbook, whilst another man works an Apple netbook beside him.'], ['Two men seated, one holding a guitar, looking at laptop computer screens.'], ['Two men looking at little white laptops and holding a guitar.'], ['Two men working on there apple laptops.'], ['Two men are using their laptops.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x335 at 0x7CBB9D42B2C0>,"[['A man dressed in a suit is walking away from a gray box that has a clear glass wall.'], ['A man in a suit walks past a gray structure with a window on a street.'], ['A man in a suit walking past a small glass building.'], ['A man in a suit walks by a glass structure.'], ['A man in a suit walks past a glass box.']]","[['A man wearing a suit walks next to a building support column with palm trees in the background.'], ['An interesting square is surrounded by people commuting to their desired destinations.'], ['In a modern building, employees cross paths with the janitor with an orange trashcan.'], ['The outside of a business is shown with a trashcan and four people walking around.'], ['Several people walk past a mirrored pillar in a public concourse.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7CBB9DE60740>,"[['A man wearing a brown shirt and jeans is standing in front of a light while a man in a plaid suit with a clown mask on plays an electric guitar and a man in a black shirt and black pants plays an electric guitar.'], ['A man in a brown shirt and jeans plays an instrument with other musicians.'], ['A man in a brown shirt is playing a musical instrument on stage.'], ['A man in a brown shirt playing a guitar on stage with others.'], ['A man is playing the guitar in front of a microphone.']]","[['A man in a plaid suit and clown makeup plays guitar, while a man in a brown shirt head bangs and a woman plays bass in the background.'], ['A band consisting of a female bassist, a male face-painted guitarist, and an average-looking vocalist rock out on stage.'], ['A guy in a brown shirt, a girl in a black shirt, and a guy in a plaid suit are playing in a band.'], ['A man in a T-shirt and jeans is dancing in front of a man and a woman playing electric guitars.'], ['A man in a plaid suit playing guitar with a woman and another man.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7CBB9DF600E0>,"[['A man wearing blue swimming trunks is swimming underwater with a large group of people.'], ['A group of people are swimming underwater in a pool.'], ['A man in blue swimming trunks underwater.'], ['A group of swimmers underwater.'], ['A man swims underwater.']]","[['A group of people are varying degrees of underwater in a pool, with an older man clad in American flag swim trunks the furthest underwater.'], ['A man, in the American flag swim trunks, swims underneath other at a pool.'], ['A number of people are diving and swimming in a body of water.'], ['The people swim above and under the water in the pool.'], ['Old man in swimming pool having fun swimming']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7CBB9DE5BF80>,"[['A man in a black t-shirt and khaki pants playing a guitar.'], ['A balding man in a black t-shirt is playing a guitar.'], ['A man in a black shirt is sitting and playing a guitar.'], ['A man in a black shirt is playing a guitar.'], ['A man in a black shirt is playing a guitar.']]","[['A man with a rolling stones t-shirt on with beige pants sitting in a highchair adjusting a black guitar'], ['Young man wearing a rolling stones black t-shirt playing a guitar.'], ['A young shaved head man is tuning his guitar.'], ['A young man tunes his guitar in the kitchen.'], ['A guy sitting on a chair tunes his guitar.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x7CBB9DE5ADB0>,"[['People walking in the city at night with signs written in another language.'], ['People walking around the streets of an Asian city.'], ['People walking in a city at night.'], ['People walk around an Asian city.'], ['People walking on a city street.']]","[['Two people in the foreground look like shadows against the neon signs of the businesses at night.'], ['A photo of a couple walking down the street with Chinese characters written on the signage.'], ['A man in a red raincoat is looking to the opposite site of the camera.'], ['A couple embrace as they look at the Asian signs in the distance.'], ['Couple in shadow walks away from a lit storefront toward camera']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7CBB9D422540>,"[['A boy in a gray shirt and yellow shorts jumps in the air with a river and mountains in the background.'], ['A young boy in yellow shorts and a gray shirt jumps in the air.'], ['A boy is jumping on a hill overlooking a river.'], ['A boy jumping up from the sand next to a river'], ['A boy is jumping on a hill near a river.']]","[['Person in yellow shorts, gray shirt with logo jumping from bank into the water.'], ['A young person wearing a gray shirt and yellow shorts jumping into a river.'], ['A boy high in the air above the dirt and water near the red rock cliffs.'], ['The boy in yellow shorts leaps from riverbank towards the river.'], ['A medium sized child jumps off of a dusty bank over a creek.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7CBB9DA67FB0>,"[['Two people sit on a beach at dusk with mountains and a town in the background.'], ['Two people sit on the shore of a lake at dusk.'], ['Two people are sitting on the water at dusk.'], ['Two people sit by a lake with mountains.'], ['Two people are sitting on a beach.']]","[['Two people sit in the dark, on the shore, looking at the city lights.'], ['The couple is sitting near the water in lawn chairs.'], ['Two people on cots watching the water at twilight.'], ['Two people sitting in the shadows near the water.'], ['Two people relax by the water.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=373x500 at 0x7CBB9DDABA70>,"[['A woman with pink hair, wearing a striped shirt, is peeling something while standing in a kitchen.'], ['A woman with short red-hair and a black and white striped shirt is cutting up food.'], ['A woman is wearing a striped shirt and peeling a tomato.'], ['A woman wearing a striped shirt is cutting up food.'], ['A woman with short hair prepares food.']]","[['A middle-aged woman with a young, edgy red haircut is looking down at shallots she is cutting up in a restaurant kitchen on a cutting board.'], ['A woman in a striped shirt uses a cutting board and knives to cut some vegetables.'], ['A woman in a black and mint shirt preparing food during a cooking class.'], ['An older woman with short red-hair is preparing food in a kitchen.'], ['A dyed red-haired women prepares an onion in a commercial kitchen.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x371 at 0x7CBB9D600FE0>,"[['Three men wearing red shirts are riding horses at a rodeo.'], ['Three men wearing red shirts are riding horses at a rodeo.'], ['Three men wearing red shirts are riding horses at a rodeo.'], ['Three men in red shirts riding horses at a rodeo.'], ['A group of men are riding horses.']]","[['There are three men on horses, 2 with red shirts, and the third with a white shirt is getting bucked off while people spectate.'], ['Three men on horses, one of them with his legs up in the air is being bucked off his horse.'], ['Two men on horses look on as another man is bucked off the back of his horse.'], ['Two men on horseback watch as another man is thrown from his bucking horse.'], ['Three men are riding horses in the rodeo with spectators watching.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7CBB9DA862D0>,"[['Four speed skaters are in a race, with one in an orange suit in the lead.'], ['Four ice skaters are racing around a track in the ice.'], ['Four people are ice skating in a race.'], ['Four people are ice skating in a race.'], ['Four people are speed skating.']]","[['Four skaters are competing in a high speed skating competition, and turning on the track.'], ['Four athletes from two different teams are competing in their sport on the ice rink.'], ['Four people turn a corner in a speed skating event.'], ['Four women participating in an ice-skating race.'], ['Four ice skaters racing around a corner.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=375x500 at 0x7CBB9D9E7620>,"[['A man dressed in white is playing a keyboard in front of a microphone.'], ['A man in all white is playing an instrument and singing.'], ['A man in all white is performing music on a stage.'], ['A man in white plays a keyboard on stage.'], ['A man in white plays a keyboard.']]","[['A man in a snazzy silver suit is playing the keyboard and singing.'], ['A man, dressed in white, plays the piano and sings on stage.'], ['A man dressed in white plays a keyboard as his band performs.'], ['Musician is dressed in white and playing keyboard with band.'], ['A man in a white outfit is playing an electric keyboard.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=333x500 at 0x7CBC4D7C6510>,"[['Two men are talking to a man who is pushing a cart with a sign on it.'], ['A man in a green shirt is pushing a cart in a city.'], ['A man pushes a cart on a city street at night.'], ['People are walking on the sidewalk.'], ['A man pushing a cart on the street.']]","[['""A group of people are standing on a city street at night; in the background are streetlights and a McDonald\'s restaurant."", \'A man wearing a green jumpsuit pushing a wagon is waiting to cross the street.'], ['A cleaning woman in a bright uniform is pushing a cart.'], ['A city worker pushing a mobile garbage bin.'], ['An old man cleaning trash on the street.']]"
