image,lol_of_genrated_response,lol_of_original_response
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7AF38AC9AED0>,"[['A toddler in a Elmo Christmas outfit, sitting on the floor playing a red guitar.'], ['A blond toddler in a Elmo Christmas outfit plays with a red guitar.'], ['A little girl in a red Elmo Christmas outfit playing a red guitar.'], ['A little girl in a red Elmo outfit playing with a red guitar.'], ['A child in a Elmo Christmas outfit playing with a guitar.']]","[['The baby his a Cookie Monster outfit on he is happy he his a Gutter its red'], ['""A child wearing a shirt decorated with Elmo\'s face holds a red ukulele."", \'A toddler wearing an Elmo Christmas outfit holds a red guitar.'], ['A child wearing a santa elmo suit holding a red guitar.'], ['A child in a Elmo suit is playing the guitar.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7AF31AEF6090>,"[['A boy is running through a water fountain in a busy city square.'], ['A boy runs through the fountain as people gather around.'], ['A boy runs through a fountain in a crowded public area.'], ['A shirtless man running through a fountain.'], ['A man running through a fountain']]","[['A man without a shirt runs through water spraying out of a large silver dome.'], ['A group of people are standing around a water fountain getting wet.'], ['People playing outside near a water fountain getting wet.'], ['A large crowd plays in and around a fountain.'], ['Sprinkler goes off in the middle of a crowd.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x315 at 0x7AF2D1128B00>,"[['A young girl is throwing bubbles into the air as she is held by an adult woman, while a boy behind them reaches out towards the bubbles.'], ['A little girl in a blue dress is holding her arms out while bubbles float around her.'], ['A woman holds a little girl while she blows bubbles.'], ['A woman holds a girl while she plays with bubbles.'], ['A woman is holding a child who is blowing bubbles']]","[['A young woman in a blue shirt stands, holding a young girl in a denim dress.'], ['There is a woman holding her baby daughter while the daughter claps.'], ['A woman with holding a young girl playing with bubbles at a picnic.'], ['A woman is holding a little girl who is trying to catch bubbles.'], ['A lady holds a little girl who is trying to catch bubbles.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x332 at 0x7AF3880FC1A0>,"[['A woman in a yellow top and black shorts runs down a dirt road.'], ['A woman runs down a dirt road in the mountains.'], ['A woman is running on a dirt road in the mountains'], ['A woman is running on a dirt road in a mountain.'], ['A woman runs on a dirt road in the mountains.']]","[['A woman is walking down a trail with tall grass and a mountain in the background.'], ['A hiker jogs down a rocky road while blue skies and mountains cross the horizon.'], ['Woman jogging down a mountain trail with mountains in the background.'], ['A woman in yellow shir and black shorts is running along.'], ['A female runner running alone near a mountain.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=332x500 at 0x7AF40FF04050>,"[['A group of people are trying to get the attention of a gorilla that is above them.'], ['People are at a concert and a person in a gorilla costume is above them.'], ['People are at a concert watching a person dressed as a gorilla.'], ['People are trying to get a gorilla down from a loud speaker.'], ['People are looking at a gorilla above them.']]","[['A large black gorilla peers down at a group of young people from above while the peer inside his enclosure from below.'], ['A group of young people stand in front of and touch a black, rusting metal structure.'], ['The stuffed gorilla is laying on top of the stack of speakers.'], ['Young people stand underneath a large stuffed gorilla.'], ['People stand in front of a black wooden contraption.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x335 at 0x7AF2D12C6A80>,"[['A woman wearing a blue dress is singing and holding a microphone while three men are playing instruments behind her.'], ['A band performs on stage with a woman in a blue dress in the middle and three men behind her.'], ['A woman in a blue dress and three men are playing music.'], ['A band performing at an event.'], ['A band performing on stage.']]","[['A band with four members, one female, plays for a small audience.'], ['A woman in a blue dress sings while her bandmates play instruments.'], ['A 5-person band is performing on a stage inside a tent.'], ['A musical quintet are performing at a festival.'], ['Three men and one woman in a band on a stage.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7AF2D100D0A0>,"[['Two young men with brown hair, one wearing a gray hoodie and playing a guitar, the other wearing a black hoodie and working on a laptop computer, sit at a table surrounded by cords and other electrical equipment.'], ['Two men are sitting at a table with a guitar and two laptops.'], ['Two men sitting at a table with two laptops in front of them.'], ['Two men sitting at a table with laptops and a guitar.'], ['Two men with laptops and a guitar.']]","[['A man holding guitar and works at an Asus betbook, whilst another man works an Apple netbook beside him.'], ['Two men seated, one holding a guitar, looking at laptop computer screens.'], ['Two men looking at little white laptops and holding a guitar.'], ['Two men working on there apple laptops.'], ['Two men are using their laptops.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x335 at 0x7AF2D10ED580>,"[['A man in a suit walks past a building while a janitor is sweeping the floor.'], ['A janitor sweeps the floor while people walk past.'], ['A man in a suit walks down the street.'], ['People are walking in a building.'], ['A man is walking down the street.']]","[['A man wearing a suit walks next to a building support column with palm trees in the background.'], ['An interesting square is surrounded by people commuting to their desired destinations.'], ['In a modern building, employees cross paths with the janitor with an orange trashcan.'], ['The outside of a business is shown with a trashcan and four people walking around.'], ['Several people walk past a mirrored pillar in a public concourse.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7AF2D12EDBE0>,"[['A man in a brown shirt is standing on a stage holding a white piece of paper while two other people are playing their instruments.'], ['A man in a brown shirt is holding a piece of paper while two other people play guitars behind him.'], ['A man in a brown shirt holds a piece of paper while two others play guitar behind him.'], ['A man on stage holding a piece of paper while two other men play guitar.'], ['A man is standing on stage holding a piece of paper.']]","[['A man in a plaid suit and clown makeup plays guitar, while a man in a brown shirt head bangs and a woman plays bass in the background.'], ['A band consisting of a female bassist, a male face-painted guitarist, and an average-looking vocalist rock out on stage.'], ['A guy in a brown shirt, a girl in a black shirt, and a guy in a plaid suit are playing in a band.'], ['A man in a T-shirt and jeans is dancing in front of a man and a woman playing electric guitars.'], ['A man in a plaid suit playing guitar with a woman and another man.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7AF2D12EFDA0>,"[['A group of people in various stages of swimming underwater.'], ['A man in swim trunks swims in an indoor pool with others.'], ['A group of people swimming underwater in a pool.'], ['A group of people are swimming in a pool.'], ['People swimming in a pool']]","[['A group of people are varying degrees of underwater in a pool, with an older man clad in American flag swim trunks the furthest underwater.'], ['A man, in the American flag swim trunks, swims underneath other at a pool.'], ['A number of people are diving and swimming in a body of water.'], ['The people swim above and under the water in the pool.'], ['Old man in swimming pool having fun swimming']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7AF2D10EC3E0>,"[['A man in a black Rolling Stones shirt is playing a black acoustic guitar.'], ['A man in a black Rolling Stones shirt playing an acoustic guitar.'], ['A man in a black Rolling Stones shirt playing a guitar.'], ['A man playing a guitar in a living room.'], ['A man playing a guitar in a house.']]","[['A man with a rolling stones t-shirt on with beige pants sitting in a highchair adjusting a black guitar'], ['Young man wearing a rolling stones black t-shirt playing a guitar.'], ['A young shaved head man is tuning his guitar.'], ['A young man tunes his guitar in the kitchen.'], ['A guy sitting on a chair tunes his guitar.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x7AF2D11A5FA0>,"[['Two men in suits are walking down the street at night, and a woman in a red dress is standing at the corner.'], ['A couple walking down a street in the dark with a woman in a red coat standing by a doorway.'], ['A couple walking down a street in an Asian city.'], ['People walking on the street at night.'], ['People walking in a foreign city.']]","[['Two people in the foreground look like shadows against the neon signs of the businesses at night.'], ['A photo of a couple walking down the street with Chinese characters written on the signage.'], ['A man in a red raincoat is looking to the opposite site of the camera.'], ['A couple embrace as they look at the Asian signs in the distance.'], ['Couple in shadow walks away from a lit storefront toward camera']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7AF2D0E43110>,"[['A boy in yellow shorts is jumping from a cliff into the river below.'], ['A boy in yellow shorts jumps from a rocky cliff into a river.'], ['A boy jumping off a cliff into a river.'], ['A young boy is jumping off a cliff.'], ['A boy jumping off a cliff.']]","[['Person in yellow shorts, gray shirt with logo jumping from bank into the water.'], ['A young person wearing a gray shirt and yellow shorts jumping into a river.'], ['A boy high in the air above the dirt and water near the red rock cliffs.'], ['The boy in yellow shorts leaps from riverbank towards the river.'], ['A medium sized child jumps off of a dusty bank over a creek.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7AF2D11EEBA0>,"[['Two people sit on a dock in front of a large body of water with a mountain in the background.'], ['Two people sit on a raft in the middle of a body of water at dusk.'], ['Two people sitting on a dock in a lake watching the sunset.'], ['Two people sit on a pier at sunset.'], ['Two people sitting on a dock']]","[['Two people sit in the dark, on the shore, looking at the city lights.'], ['The couple is sitting near the water in lawn chairs.'], ['Two people on cots watching the water at twilight.'], ['Two people sitting in the shadows near the water.'], ['Two people relax by the water.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=373x500 at 0x7AF2D1305D30>,"[['A woman with purple hair is chopping vegetables in a kitchen.'], ['A woman with red-hair is cutting up vegetables in a kitchen.'], ['A woman with red-hair is cutting up vegetables.'], ['A woman with red-hair is chopping vegetables.'], ['A woman with red-hair is cooking in a kitchen']]","[['A middle-aged woman with a young, edgy red haircut is looking down at shallots she is cutting up in a restaurant kitchen on a cutting board.'], ['A woman in a striped shirt uses a cutting board and knives to cut some vegetables.'], ['A woman in a black and mint shirt preparing food during a cooking class.'], ['An older woman with short red-hair is preparing food in a kitchen.'], ['A dyed red-haired women prepares an onion in a commercial kitchen.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x371 at 0x7AF2D1111E50>,"[['Two men in red shirts are riding two horses in an arena, and one of the horses is bucking off its rider.'], ['A man in a red shirt is riding a bucking horse at a rodeo.'], ['A man is being thrown off a horse at a rodeo.'], ['Two cowboys on horses at a rodeo event.'], ['Two men on horses at a rodeo.']]","[['There are three men on horses, 2 with red shirts, and the third with a white shirt is getting bucked off while people spectate.'], ['Three men on horses, one of them with his legs up in the air is being bucked off his horse.'], ['Two men on horses look on as another man is bucked off the back of his horse.'], ['Two men on horseback watch as another man is thrown from his bucking horse.'], ['Three men are riding horses in the rodeo with spectators watching.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7AF2D1072C30>,"[['Four skaters in racing suits and yellow helmets race on an ice rink, with three of them in a tight cluster and the fourth lagging behind.'], ['Four people are participating in a speed skating competition, with three of them in a tight group and one behind.'], ['Four skaters in yellow helmets race on a frozen track with only one of them in sight.'], ['Four people in yellow helmets skate on a track.'], ['Four people are competing in an ice skating race.']]","[['Four skaters are competing in a high speed skating competition, and turning on the track.'], ['Four athletes from two different teams are competing in their sport on the ice rink.'], ['Four people turn a corner in a speed skating event.'], ['Four women participating in an ice-skating race.'], ['Four ice skaters racing around a corner.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=375x500 at 0x7AF2D1304DD0>,"[['A man in white pants and a white sailor suit is standing in front of a keyboard.'], ['A man dressed in a white outfit is playing a keyboard on stage.'], ['A man in a white outfit plays the keyboard on a stage.'], ['A man in white is playing a keyboard on stage.'], ['A man in white is playing the keyboard.']]","[['A man in a snazzy silver suit is playing the keyboard and singing.'], ['A man, dressed in white, plays the piano and sings on stage.'], ['A man dressed in white plays a keyboard as his band performs.'], ['Musician is dressed in white and playing keyboard with band.'], ['A man in a white outfit is playing an electric keyboard.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=333x500 at 0x7AF2D1304CE0>,"[[""A person wearing a yellow vest is pushing a cart on the sidewalk in front of a McDonald\\'s restaurant.""], ['A city worker is pushing a green trash bin down a busy sidewalk at night.'], ['A person in a yellow vest is pushing a trash barrel on the street.'], ['A woman in a yellow vest is pushing a trash cart on a city street.'], ['A woman in a yellow vest pushing a trash cart.']]","[['""A group of people are standing on a city street at night; in the background are streetlights and a McDonald\'s restaurant."", \'A man wearing a green jumpsuit pushing a wagon is waiting to cross the street.'], ['A cleaning woman in a bright uniform is pushing a cart.'], ['A city worker pushing a mobile garbage bin.'], ['An old man cleaning trash on the street.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x334 at 0x7AF2D11B87A0>,"[['A man wearing a black shirt is barbecuing a large amount of sausages.'], ['A man in a black shirt is cooking sausages on a grill.'], ['A man in a black shirt is barbecuing sausages.'], ['A man barbecues sausages on a grill.'], ['A man is grilling sausages.']]","[['Man in a black shirt with a watch grilling many hotdogs on a stainless steel barbecue.'], ['A man grills sausages on a large steel grill.'], ['A man grilling hotdogs on a gas grill.'], ['A man grilling hotdogs and sausages.'], ['A man is grilling sausages.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7AF2D13057C0>,"[['A girl in a blue sweater is holding onto a tree limb.'], ['A girl in a blue school uniform is climbing a tree.'], ['A girl in blue is climbing a tree.'], ['A young girl climbing a tree.'], ['A girl is climbing a tree.']]","[['A girl in a blue dress, wearing a blue sweater, hanging out in a tree.'], ['A girl in a blue school uniform climbs a tree and stops for a picture.'], ['A woman in formal clothing climbing a tree.'], ['Girl in school outfit atop a tree.'], ['A schoolgirl climbing a tree.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=440x500 at 0x7AF2D1113230>,"[['A girl soccer player is getting ready to kick the ball into the goal.'], ['A girl in a red uniform kicks the soccer ball into the goal.'], ['A soccer player wearing red is kicking a soccer ball.'], ['A female soccer player is about to kick the ball.'], ['A female soccer player is kicking the ball.']]","[['A young woman wearing a red shirt stands in a soccer goal and kicks a ball.'], ['A goalie in a red uniform kicks at the soccer ball to protect the goal.'], ['A female kicking a soccer ball while in front of a soccer goal.'], ['The young ladie takes a goalie kick during a soccer match.'], ['A soccer player in a red uniform just kicked a ball.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7AF2D10B9760>,"[['A man wearing a blue striped shirt is sleeping on a bench next to a brick building.'], ['A man in jeans and a striped shirt is asleep on a bench next to a bike.'], ['A man in a striped shirt and jeans is asleep on a bench.'], ['A man is sleeping on a bench next to a bicycle.'], ['A man is sleeping on a bench on a sidewalk.']]","[['Male in a striped short-sleeve shirt, jeans, and brown shoes falling asleep while sitting down.'], ['A man in jeans and a striped short shirt is sitting on a stoop and sleeping.'], ['A man in a striped shirt and blue jeans asleep on a stoop.'], ['A man is sitting on the floor, sleeping.'], ['A male taking a nap on a hot afternoon.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7AF2D108C110>,"[['A man is in a boat surrounded by swans and other ducks.'], ['A man in a boat surrounded by swans and ducks.'], ['A man is surrounded by swans on a lake.'], ['A man in a boat surrounded by swans.'], ['A man is rowing a boat in a lake.']]","[['A man on a boat feeding many water birds and two parents in chairs with their little girl on the side.'], ['A man in a boat wearing a white shirt is holding a buoy while being surrounded by swan.'], ['A flock of swans gathers around a person in a boat on a sunny day.'], ['Swans are gathering around a man and a boat.'], ['Man riding in boat feeds group of swan.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7AF2D108D6A0>,"[['A dog carries a stick in its mouth and walks through a grassy area with leaves.'], ['A brown dog is carrying a large stick in its mouth and walking through a field.'], ['A dog with a long tail is carrying a stick in its mouth.'], ['A golden retriever dog holds a stick in his mouth.'], ['A dog carries a stick in its mouth.']]","[['A dog walks through the leaves with a large stick in his mouth.'], ['A yellow dog plays with a large stick in the grass.'], ['A golden retriever is biting a branch in a yard.'], ['A golden dog has a long stick in its mouth.'], ['A dog carries a stick in its mouth.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=333x500 at 0x7AF2D108EA50>,"[['A woman wearing a purple necklace and a black tank top is playing a video game with a guitar.'], ['A woman in a gray tank top plays a guitar on a couch.'], ['An Asian woman plays a guitar video game.'], ['A woman plays a guitar on a video game.'], ['A woman playing a guitar on a couch.']]","[['Asian woman wearing jeans and a tank top while playing an electric guitar inside a house.'], ['""A woman playing an electric guitar that doesn\'t have any strings."", \'A chinese girl playing a guitar standing in front of a cough.'], ['A woman with a flowered lei is playing the guitar.'], ['An Asian teen girl playing an electric guitar.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=344x500 at 0x7AF2D0E42450>,"[['A man dressed as the Statue of Liberty with sunglasses and holding a torch, stands in a crowd of people.'], ['A man dressed as the statue of liberty with sunglasses is in a crowd of people.'], ['A man dressed as the Statue of Liberty holds a torch as a crowd looks on.'], ['A man dressed as the Statue of Liberty is standing on a crowded street.'], ['A man dressed as the Statue of Liberty is wearing sunglasses.']]","[['A person in a statue of liberty costume with shades stands motionless in a crowd of people.'], ['A Statue of Liberty street performer stands outside while pedestrians pass.'], ['A human statute dressed as the Statute of Liberty stands among a crowd.'], ['Man looking at The Statue of Liberty with sunglasses on.'], ['A mock statue of liberty is standing in the crowd.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=333x500 at 0x7AF2D1129EE0>,"[['A snowboarder wearing a striped jacket is getting hit by snow.'], ['A man in a striped shirt is snowboarding at night.'], ['A snowboarder in a striped shirt.'], ['A man is snowboarding at night.'], ['A snowboarder in the snow']]","[['A snowboarder wearing a black and white striped jacket is kicking up some snow.'], ['A snowboarder poses for the camera while doing a trick.'], ['A man in a zippered jacket snowboarding.'], ['A man in a prison suit is snowboarding.'], ['A snowboarder in stripes.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x334 at 0x7AF2D1129790>,"[['A woman wearing a blue lab coat is working in a lab with an electron microscope.'], ['A woman wearing blue lab gear is looking through a microscope.'], ['A female scientist is looking through a microscope.'], ['A woman in a lab coat is looking into a microscope.'], ['A woman working at a microscope.']]","[['A woman is looking through a scientific instrument at a small piece of technology.'], ['Woman looking through a high-powered microscope at a bacteria in a small vial'], ['A woman in a lab coat is looking into a microscope in a lab.'], ['There is a scientist looking through a microscope.'], ['A female researcher videotaping a specimen.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7AF2D0F78B90>,"[['A man walks his dog past a building with graffiti on it.'], ['A man walks a dog in front of a building with graffiti.'], ['A man is walking his dog in front of a dilapidated house.'], ['A man walks his dog past a building with graffiti.'], ['A man walks a dog in front of a graffitied building.']]","[['A person in a hat walking their dog in front of a building with large chain-linked fences surrounding it.'], ['A person in a blue jacket walks his golden dog in front of an abandoned building.'], ['A man walks an orange dog in front of a building with a rusted chain fence.'], ['A bad neighbor hood were there is vandalism on the buildings'], ['A man walks a large dog past a barricaded building.']]"
