image,original_response_formatted,generated_response_formatted
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7EC0B3333FE0>,"[['The baby his a Cookie Monster outfit on he is happy he his a Gutter its red'], [""A child wearing a shirt decorated with Elmo's face holds a red ukulele.""], ['A toddler wearing an Elmo Christmas outfit holds a red guitar.'], ['A child wearing a santa elmo suit holding a red guitar.'], ['A child in a Elmo suit is playing the guitar.']]","[['A toddler wearing an Elmo costume plays a red ukulele.'], ['A little blond girl in a red Elmo costume playing with a red guitar.'], ['A blond child dressed in an Elmo costume playing an Elmo guitar.'], ['A blond child in a red Elmo suit plays a red guitar.'], ['A young blond child in a red Elmo suit is playing on a red Elmo guitar.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7EC0B3333D10>,"[['A man without a shirt runs through water spraying out of a large silver dome.'], ['A group of people are standing around a water fountain getting wet.'], ['People playing outside near a water fountain getting wet.'], ['A large crowd plays in and around a fountain.'], ['Sprinkler goes off in the middle of a crowd.']]","[['A man with no shirt on is running in the fountain at a park.'], ['Many people gathered around a fountain that is shooting water into the air.'], ['A large group of people gather around a large fountain in a city square.'], ['People at a fair are enjoying the sprinklers from a fountain.'], ['A group of people, both adults and children, are enjoying a large fountain.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x315 at 0x7EC0B3331E80>,"[['A young woman in a blue shirt stands, holding a young girl in a denim dress.'], ['There is a woman holding her baby daughter while the daughter claps.'], ['A woman with holding a young girl playing with bubbles at a picnic.'], ['A woman is holding a little girl who is trying to catch bubbles.'], ['A lady holds a little girl who is trying to catch bubbles.']]","[['A little girl in a blue dress is chasing bubbles, with a woman next to her.'], ['A young girl with braided hair looks at bubbles in a park with her mother.'], ['A woman wearing a blue shirt is holding a little girl wearing a blue shirt.'], ['A young black girl is holding her hands out, as if she is trying to catch bubbles.'], ['A woman and her daughter are playing with bubbles on a park bench.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x332 at 0x7EC0B35E5520>,"[['A woman is walking down a trail with tall grass and a mountain in the background.'], ['A hiker jogs down a rocky road while blue skies and mountains cross the horizon.'], ['Woman jogging down a mountain trail with mountains in the background.'], ['A woman in yellow shir and black shorts is running along.'], ['A female runner running alone near a mountain.']]","[['A woman is running on a dirt path near the mountains with green grass and flowers.'], ['A woman walks down a dirt path with mountains and clouds in the background.'], ['A woman in shorts is jogging on a trail next to a mountain.'], ['A woman in black shorts is running on a gravel road near a mountain.'], ['A woman with a black tank top and shorts walks on a gravel road in front of a mountain range.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=332x500 at 0x7EC0B33340E0>,"[['A large black gorilla peers down at a group of young people from above while the peer inside his enclosure from below.'], ['A group of young people stand in front of and touch a black, rusting metal structure.'], ['The stuffed gorilla is laying on top of the stack of speakers.'], ['Young people stand underneath a large stuffed gorilla.'], ['People stand in front of a black wooden contraption.']]","[['A group of people are at a gorilla exhibit, with one person in a green shirt touching one of the speakers.'], ['A group of people is standing at a booth with a gorilla looking down at them.'], ['People are putting something into a slot machine like device, while a gorilla looks down on them.'], ['A group of people with their hands on the counter at a restaurant that is looking up at the kitchen window.'], ['A group of young people are interacting with a mechanical device, while a stuffed gorilla is above them.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x335 at 0x7EC0B3334320>,"[['A band with four members, one female, plays for a small audience.'], ['A woman in a blue dress sings while her bandmates play instruments.'], ['A 5-person band is performing on a stage inside a tent.'], ['A musical quintet are performing at a festival.'], ['Three men and one woman in a band on a stage.']]","[['A band of musicians is performing in front of a crowd of people.'], ['A band with a female lead singer performs on a stage under a tent.'], ['A four person band with a female singer and a female keyboardist playing outside in a tent.'], ['A band playing under a tent with the sign entertainment.'], ['A band performs a concert for an audience outside of a tent.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7EC0B3335070>,"[['A man holding guitar and works at an Asus betbook, whilst another man works an Apple netbook beside him.'], ['Two men seated, one holding a guitar, looking at laptop computer screens.'], ['Two men looking at little white laptops and holding a guitar.'], ['Two men working on there apple laptops.'], ['Two men are using their laptops.']]","[['Two guys are sitting at a table with laptops, one is smoking.'], ['Two men are sitting at a table, with guitars and laptops in front of them.'], ['A man with a guitar sits with a laptop in front of him while another man in a black hoodie sits beside him on a laptop while smoking.'], ['Two men are sitting at a table using their laptops and one man is playing a guitar.'], ['A man is playing a guitar while working on his laptop.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x335 at 0x7EC0B3334440>,"[['A man wearing a suit walks next to a building support column with palm trees in the background.'], ['An interesting square is surrounded by people commuting to their desired destinations.'], ['In a modern building, employees cross paths with the janitor with an orange trashcan.'], ['The outside of a business is shown with a trashcan and four people walking around.'], ['Several people walk past a mirrored pillar in a public concourse.']]","[['A man in a black suit is walking by a security booth at a building.'], ['A man in a suit walks by a glass structure, as another walks away.'], ['A man is walking down the street with a suit on while carrying something.'], ['A man in a white shirt and black pants is sweeping the sidewalk.'], ['A man in a business suit is walking past a trashcan in a courtyard.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7EC0B3334140>,"[['A man in a plaid suit and clown makeup plays guitar, while a man in a brown shirt head bangs and a woman plays bass in the background.'], ['A band consisting of a female bassist, a male face-painted guitarist, and an average-looking vocalist rock out on stage.'], ['A guy in a brown shirt, a girl in a black shirt, and a guy in a plaid suit are playing in a band.'], ['A man in a T-shirt and jeans is dancing in front of a man and a woman playing electric guitars.'], ['A man in a plaid suit playing guitar with a woman and another man.']]","[['Three people, two of them playing instruments, are performing in a dark room.'], ['A man in a brown shirt and jeans is playing the guitar with a man wearing a plaid suit.'], ['A man in a brown shirt is playing a white guitar with a man in a black shirt in the background and a man in a plaid jacket in the foreground playing a guitar.'], ['Three musicians play together, one wearing a brown shirt, one wearing a plaid jacket, and one wearing a black shirt.'], ['A guitarist wearing a plaid suit is playing with a band, while another guitarist is in the background.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7EC0B33341D0>,"[['A group of people are varying degrees of underwater in a pool, with an older man clad in American flag swim trunks the furthest underwater.'], ['A man, in the American flag swim trunks, swims underneath other at a pool.'], ['A number of people are diving and swimming in a body of water.'], ['The people swim above and under the water in the pool.'], ['Old man in swimming pool having fun swimming']]","[['A man in a patriotic swim trunks is swimming underwater with other swimmers.'], ['Several people in swimsuits are swimming in a pool. One man is wearing red, white and blue swim trunks.'], ['A man with red, white and blue shorts is swimming underwater with a group of other swimmers.'], ['A group of people are swimming in a pool, one man is wearing patriotic swim trunks.'], ['Several people are swimming in the water, one man is wearing a bathing suit with the american flag on it.']]"
