image,original_response_formatted,generated_response_formatted
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7885F0BAB620>,"[['The baby his a Cookie Monster outfit on he is happy he his a Gutter its red'], [""A child wearing a shirt decorated with Elmo's face holds a red ukulele.""], ['A toddler wearing an Elmo Christmas outfit holds a red guitar.'], ['A child wearing a santa elmo suit holding a red guitar.'], ['A child in a Elmo suit is playing the guitar.']]","[['A little girl in a red Elmo outfit plays with a red toy guitar.'], ['A little girl in a red Elmo outfit playing a red guitar.'], ['A little girl wearing a red Elmo onesie sits in front of a red Coca-Cola guitar.'], ['A little girl is playing with a red guitar in front of a cabinet.'], ['A young girl is playing with a red guitar in front of a wooden door and cabinets.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7885F0BA86B0>,"[['A man without a shirt runs through water spraying out of a large silver dome.'], ['A group of people are standing around a water fountain getting wet.'], ['People playing outside near a water fountain getting wet.'], ['A large crowd plays in and around a fountain.'], ['Sprinkler goes off in the middle of a crowd.']]","[['A man is walking down a wet, circular wall in a plaza as a crowd looks on.'], ['People are gathered around a fountain that is spraying water all over the place.'], ['The people are having fun at a water fountain in the city square.'], ['A group of people are standing by a fountain while some are playing in it.'], ['People are playing in a fountain while others look on from the ground behind them.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x315 at 0x7885F0BAB590>,"[['A young woman in a blue shirt stands, holding a young girl in a denim dress.'], ['There is a woman holding her baby daughter while the daughter claps.'], ['A woman with holding a young girl playing with bubbles at a picnic.'], ['A woman is holding a little girl who is trying to catch bubbles.'], ['A lady holds a little girl who is trying to catch bubbles.']]","[['A young girl in a pink and blue dress reaches out to touch the bubbles that are being thrown at her by another person.'], ['A woman and a child are in a park, and the child is trying to catch bubbles.'], ['A woman holding a child who is playing with bubbles, while another child plays in the background.'], ['A little girl is reaching for bubbles in a park as a boy and another girl play in the background.'], ['A woman is holding a little girl who is wearing a denim dress and playing with bubbles in a park.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x332 at 0x7885F0BAB740>,"[['A woman is walking down a trail with tall grass and a mountain in the background.'], ['A hiker jogs down a rocky road while blue skies and mountains cross the horizon.'], ['Woman jogging down a mountain trail with mountains in the background.'], ['A woman in yellow shir and black shorts is running along.'], ['A female runner running alone near a mountain.']]","[['A woman running on a path in the mountains on a sunny day.'], ['A woman in a yellow shirt walks down a dirt road with a mountainous landscape behind her.'], ['A woman is walking on a road while talking on her phone with mountains in the background.'], ['A woman with a yellow shirt is walking on a dirt path next to a mountain range.'], ['A woman wearing glasses and a yellow shirt is walking down a gravel road with mountains in the background.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=332x500 at 0x7885F0BAB8C0>,"[['A large black gorilla peers down at a group of young people from above while the peer inside his enclosure from below.'], ['A group of young people stand in front of and touch a black, rusting metal structure.'], ['The stuffed gorilla is laying on top of the stack of speakers.'], ['Young people stand underneath a large stuffed gorilla.'], ['People stand in front of a black wooden contraption.']]","[['A group of people are looking at a large black structure with a giant gorilla hanging from it.'], ['A man in a green shirt is looking through a telescope at a bear on top of a stage. There are people around him looking up at the bear.'], ['A large number of people are gathered at an event with a giant gorilla in the background.'], ['A group of people are looking up at a large speaker system at a festival event.'], ['A group of people looking up at a large black object in the air that is furry and furry.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x335 at 0x7885F0BA9280>,"[['A band with four members, one female, plays for a small audience.'], ['A woman in a blue dress sings while her bandmates play instruments.'], ['A 5-person band is performing on a stage inside a tent.'], ['A musical quintet are performing at a festival.'], ['Three men and one woman in a band on a stage.']]","[['A man and woman are performing on stage with their instruments and a cat sitting behind them. They are both singing.'], ['A band is playing at a tent where a white banner says ""Entertainment"". One of the members is singing.'], ['A man in a gray t-shirt and jeans is playing a guitar on stage with a female singer and another male guitar player in the background.'], ['A woman in a blue dress is singing in front of a man playing guitar and another man playing keyboard and drums.'], ['A man and a woman playing a keyboard and guitar in front of a banner that says ""Entertainment"".']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7885F0BABCB0>,"[['A man holding guitar and works at an Asus betbook, whilst another man works an Apple netbook beside him.'], ['Two men seated, one holding a guitar, looking at laptop computer screens.'], ['Two men looking at little white laptops and holding a guitar.'], ['Two men working on there apple laptops.'], ['Two men are using their laptops.']]","[['Two men, one playing guitar and the other on a laptop, sit at a table with many electronic devices.'], ['Two men, one with a guitar and one with a cigarette, are playing on their Apple computers at a table in a room with a window.'], ['A man with a guitar is sitting at a table with a man in a black hoodie playing a white laptop computer.'], ['Two men, one wearing a guitar and one with a pencil in his mouth, are sitting in front of laptops and are playing a game together.'], ['A man with a cigarette in his mouth is sitting next to another man who is playing a guitar and using a laptop computer.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x335 at 0x7885F0BABA70>,"[['A man wearing a suit walks next to a building support column with palm trees in the background.'], ['An interesting square is surrounded by people commuting to their desired destinations.'], ['In a modern building, employees cross paths with the janitor with an orange trashcan.'], ['The outside of a business is shown with a trashcan and four people walking around.'], ['Several people walk past a mirrored pillar in a public concourse.']]","[['A woman is sweeping the ground while a man in a suit walks by. A woman in a purple shirt walks by in the background.'], ['The man is walking past a person who is holding a mop and looking at a reflection of the building that is behind him.'], ['A man wearing a suit walks by a woman in a purple shirt as she walks past a man who is sweeping the ground in an office building.'], ['A man in a suit walks past a woman sweeping in a large room with glass walls and a palm tree in the background.'], ['A man in a black suit and a woman in a pink shirt walk past a woman in a white shirt and black pants sweeping the floor.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7885F0BABB60>,"[['A man in a plaid suit and clown makeup plays guitar, while a man in a brown shirt head bangs and a woman plays bass in the background.'], ['A band consisting of a female bassist, a male face-painted guitarist, and an average-looking vocalist rock out on stage.'], ['A guy in a brown shirt, a girl in a black shirt, and a guy in a plaid suit are playing in a band.'], ['A man in a T-shirt and jeans is dancing in front of a man and a woman playing electric guitars.'], ['A man in a plaid suit playing guitar with a woman and another man.']]","[['A man is singing in front of a band while a clown plays the guitar behind him.'], ['A man wearing a brown shirt is standing in front of a microphone on stage.'], ['A man in a brown shirt and jeans is singing into a microphone.'], ['A man is performing at a party in a plaid suit while the audience watches him.'], ['A man with a band is holding a piece of paper while he plays music.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7885F0BABC50>,"[['A group of people are varying degrees of underwater in a pool, with an older man clad in American flag swim trunks the furthest underwater.'], ['A man, in the American flag swim trunks, swims underneath other at a pool.'], ['A number of people are diving and swimming in a body of water.'], ['The people swim above and under the water in the pool.'], ['Old man in swimming pool having fun swimming']]","[['People in the water in swimsuits and a man with an American flag swim trunk in the foreground.'], ['A man in swim trunks is swimming underwater with a group of other people.'], ['A man in red, white, and blue swim trunks is swimming underwater.'], ['A man with a shaved head is swimming underwater with people behind him.'], ['A man in an American flag bathing suit is swimming under water with many other people.']]"
